,initial_cash,final_cash,total_return,annual_return,sharpe_ratio,max_drawdown,total_trades,won_trades,lost_trades,win_rate
SMA交叉策略,100000.0,99999.06945000002,-9.30549999977881e-06,-9.730230298535521e-06,-20308.271826171425,0.0018493091118166373,5.0,1.0,3.0,0.2
"SMA交叉策略(5,20)",100000.0,100000.37252000003,3.725200000248563e-06,3.895230206930914e-06,-213172.02278629126,0.002166409922041522,9.0,2.0,6.0,0.2222222222222222
RSI策略,100000.0,126989.68549999999,0.2698968549999998,0.28382186162562845,3.514375251037576,2.181102579008512,2.0,2.0,0.0,1.0
RSI策略(改进版),100000.0,124356.31151,0.24356311509999995,0.2559974870905636,2.370003733266707,2.181102579008512,2.0,2.0,0.0,1.0
MACD策略,100000.0,116468.06353,0.1646806353000001,0.17281292727997077,4.405153436393728,8.826487458476475,4.0,2.0,1.0,0.5
MACD策略(无追踪止损),100000.0,118689.75050000001,0.18689750500000013,0.19621617562381158,3.6351741975216503,8.826487458476475,4.0,2.0,1.0,0.5
